City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,meulaboh,4.1363,96.1285,24.13,95,100,0.83,ID,1691592915
276,buckner,38.3837,-85.44,26.53,75,13,0.89,US,1691592916
277,tsiombe,-25.3,45.4833,20.84,80,56,4.53,MG,1691592768
278,fereydun kenar,36.6864,52.5225,30.01,61,0,2.06,IR,1691592916
279,utete,-7.986,38.758,26.57,51,71,4.92,TZ,1691592916
280,igarka,67.4667,86.5833,14.99,95,100,3.76,RU,1691592916
281,nelson bay,-32.7167,152.15,12.83,89,33,2.24,AU,1691592775
282,yuzhno-kurilsk,44.0306,145.8556,19.48,100,100,4.13,RU,1691592917
283,karwar,14.8,74.1333,25.82,85,83,2.18,IN,1691592917
284,kayyerkan,69.3786,87.7439,21.28,60,82,5.11,RU,1691592917
285,oum hadjer,13.2954,19.6966,28.37,67,100,3.39,TD,1691592917
286,arkhangel'sk,64.5401,40.5433,25.03,48,1,2.15,RU,1691592917
287,port macquarie,-31.4333,152.9167,7.16,93,9,3.02,AU,1691592917
288,nantucket,41.2835,-70.0995,25.03,68,100,6.69,US,1691592759
289,mazagao,-0.115,-51.2894,31.03,56,25,3.2,BR,1691592918
290,mount pearl,47.5166,-52.7813,15.47,90,100,2.06,CA,1691592918
291,howrah,22.5892,88.3103,31.0,79,75,0.0,IN,1691592918
292,pacasmayo,-7.4006,-79.5714,22.7,72,99,4.76,PE,1691592918
293,udachny,66.4167,112.4,20.25,39,0,5.72,RU,1691592918
294,crucecita,-28.95,-58.9833,18.87,71,68,2.02,AR,1691592919
295,nova sintra,14.8667,-24.7167,22.87,72,33,5.7,CV,1691592919
296,holualoa,19.6228,-155.9522,23.91,77,100,3.6,US,1691592919
297,porto novo,6.4965,2.6036,27.9,70,65,6.7,BJ,1691592864
298,kavieng,-2.5744,150.7967,27.31,75,91,7.64,PG,1691592728
299,kachkanar,58.7,59.4948,20.79,66,100,0.96,RU,1691592919
300,road town,18.4167,-64.6167,31.02,74,40,4.63,VG,1691592920
301,nemuro,43.3236,145.575,18.97,100,100,6.44,JP,1691592920
302,spearfish,44.4908,-103.8594,22.16,62,0,0.89,US,1691592656
303,boda,4.3189,17.4695,26.35,82,26,2.04,CF,1691592920
304,antsiranana,-12.2787,49.2917,26.42,53,20,5.14,MG,1691592920
305,ta`u,-14.2336,-169.5144,26.82,75,8,4.85,AS,1691592740
306,posse,-14.0931,-46.3694,31.13,25,1,4.15,BR,1691592920
307,sindirgi,39.2413,28.1784,24.19,52,1,7.36,TR,1691592921
308,bantogon,6.5333,124.0333,26.03,81,100,1.23,PH,1691592921
309,zhangjiakou,40.81,114.8794,23.3,87,12,2.01,CN,1691592717
310,qarqaraly,49.4058,75.4742,19.91,66,71,2.43,KZ,1691592921
311,salym,60.0625,71.4789,13.33,90,100,1.92,RU,1691592921
312,kyzyl-suu,42.3414,78.0056,18.22,52,1,2.13,KG,1691592921
313,san felice circeo,41.2372,13.0942,29.14,63,89,6.66,IT,1691592921
314,oyem,1.5995,11.5793,24.03,86,80,1.15,GA,1691592922
315,navirai,-23.065,-54.1906,25.84,46,2,3.58,BR,1691592922
316,hasaki,35.7333,140.8333,27.39,89,0,6.11,JP,1691592922
317,st. john's,47.5649,-52.7093,14.32,90,100,2.06,CA,1691592718
318,aberdeen,57.1437,-2.0981,18.7,58,75,2.06,GB,1691592922
319,carutapera,-1.195,-46.02,30.76,58,20,4.59,BR,1691592774
320,mejit,10.2753,170.8646,27.91,71,79,4.84,MH,1691592923
321,kangding,30.0513,101.9603,17.78,98,99,1.29,CN,1691592923
322,kothi,24.75,80.7833,28.05,67,100,3.88,IN,1691592923
323,mulayjah,27.271,48.4242,41.66,9,0,1.94,SA,1691592923
324,kralendijk,12.15,-68.2667,30.99,74,20,7.2,BQ,1691592924
325,mao,39.8885,4.2658,28.31,61,20,4.63,ES,1691592924
326,uige,-7.6087,15.0613,33.97,19,2,2.15,AO,1691592924
327,manokwari,-0.8667,134.0833,26.17,78,100,1.61,ID,1691592924
328,isangel,-19.55,169.2667,19.66,75,80,5.47,VU,1691592924
329,ust-nera,64.5667,143.2,12.66,76,40,1.85,RU,1691592925
330,pathein,16.7833,94.7333,24.54,94,100,1.6,MM,1691592925
331,chulakkurgan,43.765,69.1814,30.84,27,30,2.94,KZ,1691592925
332,khash,28.2211,61.2158,32.78,13,51,7.63,IR,1691592853
333,taroa,8.7058,171.2275,27.33,79,39,4.08,MH,1691592925
334,korla,41.7597,86.1469,31.92,21,0,2.72,CN,1691592925
335,majie,25.0333,102.6361,19.99,88,40,2.0,CN,1691592925
336,mae sai,20.4335,99.8762,22.58,99,100,0.43,TH,1691592926
337,itoman,26.1247,127.6694,28.43,98,40,5.14,JP,1691592926
338,al fallujah,33.3538,43.7795,46.94,6,0,2.42,IQ,1691592926
339,vilyuchinsk,52.9306,158.4028,14.15,76,100,4.64,RU,1691592926
340,micheweni,-4.9667,39.8333,25.24,76,34,6.3,TZ,1691592926
341,kamyzyak,46.11,48.0736,36.99,28,75,3.0,RU,1691592926
342,qamdo,31.1667,97.2333,9.11,68,49,0.87,CN,1691592926
343,gadzhiyevo,69.2551,33.3362,24.45,57,2,2.0,RU,1691592927
344,nova kakhovka,46.7545,33.3486,28.3,28,19,6.23,UA,1691592927
345,ciudad lazaro cardenas,17.9583,-102.2,29.51,75,53,1.26,MX,1691592927
346,oshakati,-17.7833,15.6833,29.7,13,5,0.88,NA,1691592927
347,ad dabbah,18.05,30.95,40.06,23,26,1.25,SD,1691592927
348,fortuna,40.5982,-124.1573,16.31,95,100,0.0,US,1691592927
349,tralee,52.2704,-9.7026,24.14,57,20,4.63,IE,1691592923
350,baotou,40.6522,109.8222,29.78,32,100,3.51,CN,1691592928
351,tera,14.0078,0.7531,30.2,56,92,3.79,NE,1691592928
352,chahuites,16.2833,-94.1833,28.71,75,92,1.25,MX,1691592928
353,tamandare,-8.7597,-35.1047,27.09,59,22,4.89,BR,1691592799
354,zakynthos,37.7914,20.8953,29.68,58,20,5.14,GR,1691592854
355,ghat,24.9647,10.1728,38.17,12,0,8.14,LY,1691592928
356,tezu,27.9167,96.1667,25.71,97,93,1.29,IN,1691592929
357,walvis bay,-22.9575,14.5053,17.53,72,0,3.09,NA,1691592929
358,pathardi,19.1667,75.1833,26.24,67,100,5.22,IN,1691592929
359,dom pedrito,-30.9828,-54.6731,14.96,88,100,2.18,BR,1691592929
360,saldanha,-33.0117,17.9442,25.03,74,0,4.84,ZA,1691592754
361,saint-philippe,-21.3585,55.7679,21.77,78,38,3.71,RE,1691592929
362,mweka,-4.85,21.5667,33.54,28,77,0.8,CD,1691592929
363,lihue,21.9789,-159.3672,26.77,75,100,8.75,US,1691592930
364,pimentel,-6.8367,-79.9342,23.16,78,100,1.03,PE,1691592930
